"Tektronix MDO3012, version v1.26, serial number C041415"
"Bus Definition: CAN"
 Time, Identifier, DLC, Data, CRC, Missing Ack, Error Info
5.004700e-02, 2000100,  2,  00  00 ,  5B,  ,  
6.006070e-02, 2000100,  2,  00  00 ,  5B,  ,  
7.007450e-02, 2000100,  2,  00  00 ,  5B,  ,  
7.405660e-02, E,  8,  04  8C  1C  BC  00  00  00  00 ,  59F3,  ,  
8.008130e-02, 2000100,  2,  00  00 ,  5B,  ,  
9.009510e-02, 2000100,  2,  00  00 ,  5B,  ,  
1.001244e-01, 2000100,  2,  00  00 ,  5B,  ,  
1.008624e-01, 3C30F0F,  7,  87  87  87  87  87  87  87 ,  3D9F,  ,  
1.101232e-01, 2000100,  2,  00  00 ,  5B,  ,  
1.128764e-01, 140C0001,  2,  00  00 ,  59BD,  ,  
1.201335e-01, 2000100,  2,  00  00 ,  5B,  ,  
1.240991e-01, E,  8,  04  8C  1C  BC  00  00  00  00 ,  59F3,  ,  
1.301478e-01, 2000100,  2,  00  00 ,  5B,  ,  
1.401616e-01, 2000100,  2,  00  00 ,  5B,  ,  
